iter	Logloss
0	0.6713227277
1	0.6515011964
2	0.6321684756
3	0.613810987
4	0.5963226611
5	0.5798148934
6	0.5639891845
7	0.5490482182
8	0.5350427002
9	0.5216980558
10	0.5090894573
11	0.497190008
12	0.4859718227
13	0.47543976
14	0.4654696902
15	0.4560705831
16	0.4471144051
17	0.4386167018
18	0.4306177166
19	0.4230730469
20	0.4159888829
21	0.4092277153
22	0.4028811685
23	0.3968433562
24	0.3911724437
25	0.3857951395
26	0.3807146959
27	0.3759124936
28	0.3713610294
29	0.3670368767
30	0.3629708783
31	0.3590606002
32	0.3553893055
33	0.35188333
34	0.3485615108
35	0.3453979006
36	0.3423735298
37	0.3394775555
38	0.3367415557
39	0.3341687515
40	0.3316801055
41	0.3292915116
42	0.3270408837
43	0.3248646544
44	0.3227896293
45	0.3208158113
46	0.3189125446
47	0.3170991545
48	0.3153902863
49	0.3137192752
50	0.3121537153
51	0.3106354861
52	0.3091502823
53	0.307758109
54	0.3063902561
55	0.3050617948
56	0.3038167852
57	0.3026061438
58	0.301428366
59	0.3002599168
60	0.299189854
61	0.2981841164
62	0.2972022488
63	0.2962128655
64	0.2952481937
65	0.294337372
66	0.2934751984
67	0.2926521544
68	0.2918600711
69	0.2910818815
70	0.2903159508
71	0.2895632185
72	0.288816456
73	0.2881083664
74	0.28744439
75	0.2867867556
76	0.2861666269
77	0.2855549626
78	0.2849764035
79	0.2844229147
80	0.283858482
81	0.2833153679
82	0.2827791117
83	0.2822349489
84	0.2817089498
85	0.2811990555
86	0.2806912147
87	0.2802209294
88	0.2797645375
89	0.2793095349
90	0.2788764464
91	0.2784772247
92	0.2780727139
93	0.2777007572
94	0.2773397163
95	0.276977409
96	0.276633783
97	0.2763029311
98	0.2760008897
99	0.2756893201
100	0.2753797511
101	0.275064792
102	0.2747566286
103	0.2744718651
104	0.2741844584
105	0.2739000134
106	0.2736277059
107	0.2733568692
108	0.2730949331
109	0.2728380839
110	0.272588371
111	0.2723371492
112	0.2720856099
113	0.2718411771
114	0.2716064634
115	0.2713668175
116	0.2711295725
117	0.2709080938
118	0.2706829345
119	0.2704550856
120	0.2702371143
121	0.2700278374
122	0.2698245867
123	0.2696195787
124	0.2694262504
125	0.2692495369
126	0.2690725659
127	0.2688938924
128	0.2687248272
