iter	Passed	Remaining
0	73	21973
1	149	22280
2	225	22323
3	298	22099
4	369	21825
5	439	21534
6	513	21474
7	582	21273
8	650	21036
9	717	20793
10	783	20594
11	850	20420
12	918	20268
13	984	20110
14	1050	19964
15	1118	19859
16	1184	19724
17	1250	19593
18	1317	19482
19	1387	19419
20	1456	19345
21	1522	19243
22	1589	19142
23	1652	19009
24	1720	18930
25	1789	18854
26	1856	18770
27	1922	18680
28	1989	18589
29	2056	18507
30	2126	18450
31	2189	18335
32	2255	18246
33	2323	18177
34	2394	18132
35	2462	18061
36	2529	17977
37	2596	17900
38	2663	17822
39	2724	17709
40	2793	17648
41	2854	17535
42	2921	17460
43	2988	17386
44	3054	17309
45	3127	17267
46	3196	17207
47	3266	17149
48	3339	17105
49	3413	17067
50	3486	17024
51	3560	16979
52	3629	16915
53	3698	16850
54	3765	16775
55	3835	16712
56	3904	16645
57	3971	16570
58	4038	16497
59	4106	16424
60	4173	16350
61	4244	16293
62	4312	16223
63	4382	16160
64	4448	16081
65	4518	16019
66	4587	15952
67	4656	15887
68	4717	15793
69	4785	15722
70	4854	15656
71	4926	15600
72	4995	15534
73	5065	15471
74	5136	15410
75	5206	15345
76	5276	15282
77	5348	15221
78	5417	15154
79	5489	15095
80	5558	15027
81	5624	14952
82	5692	14881
83	5762	14818
84	5834	14758
85	5908	14702
86	5976	14631
87	6045	14563
88	6113	14492
89	6180	14421
90	6248	14350
91	6315	14279
92	6381	14204
93	6448	14131
94	6513	14054
95	6582	13986
96	6652	13923
97	6723	13857
98	6787	13780
99	6857	13715
100	6927	13649
101	6998	13586
102	7065	13513
103	7127	13432
104	7192	13356
105	7262	13291
106	7325	13213
107	7392	13143
108	7464	13080
109	7530	13007
110	7599	12938
111	7666	12868
112	7730	12792
113	7798	12723
114	7865	12652
115	7934	12585
116	8008	12525
117	8077	12459
118	8149	12395
119	8227	12340
120	8294	12270
121	8362	12200
122	8432	12133
123	8502	12068
124	8573	12002
125	8643	11936
126	8716	11873
127	8781	11800
128	8849	11730
129	8918	11663
130	8983	11589
131	9050	11518
132	9116	11447
133	9187	11381
134	9253	11309
135	9322	11242
136	9388	11170
137	9459	11104
138	9527	11035
139	9596	10967
140	9668	10902
141	9740	10838
142	9807	10767
143	9877	10700
144	9946	10632
145	10015	10564
146	10082	10494
147	10150	10425
148	10217	10354
149	10287	10287
150	10355	10218
151	10419	10145
152	10483	10072
153	10550	10002
154	10618	9933
155	10685	9863
156	10748	9790
157	10820	9724
158	10886	9654
159	10947	9578
160	11013	9508
161	11076	9435
162	11144	9367
163	11210	9296
164	11277	9227
165	11343	9156
166	11410	9087
167	11478	9018
168	11544	8949
169	11609	8878
170	11678	8809
171	11748	8742
172	11814	8673
173	11883	8604
174	11953	8538
175	12018	8467
176	12084	8397
177	12147	8325
178	12215	8257
179	12285	8190
180	12351	8120
181	12418	8051
182	12487	7983
183	12552	7913
184	12615	7842
185	12685	7775
186	12750	7705
187	12818	7636
188	12882	7565
189	12948	7496
190	13019	7429
191	13082	7359
192	13153	7292
193	13221	7224
194	13291	7156
195	13358	7088
196	13427	7020
197	13491	6950
198	13560	6882
199	13624	6812
200	13694	6745
201	13760	6675
202	13829	6608
203	13895	6539
204	13961	6469
205	14026	6400
206	14089	6329
207	14154	6260
208	14227	6194
209	14297	6127
210	14368	6060
211	14433	5991
212	14503	5924
213	14570	5855
214	14633	5785
215	14702	5717
216	14767	5648
217	14836	5580
218	14906	5513
219	14976	5446
220	15046	5378
221	15116	5311
222	15184	5243
223	15259	5177
224	15338	5112
225	15410	5046
226	15481	4978
227	15547	4909
228	15617	4842
229	15687	4774
230	15759	4707
231	15827	4639
232	15895	4570
233	15969	4504
234	16041	4436
235	16117	4370
236	16187	4303
237	16257	4235
238	16327	4167
239	16400	4100
240	16476	4033
241	16546	3965
242	16612	3896
243	16686	3829
244	16754	3761
245	16823	3693
246	16890	3624
247	16958	3555
248	17027	3487
249	17095	3419
250	17164	3350
251	17227	3281
252	17296	3213
253	17365	3144
254	17430	3076
255	17498	3007
256	17564	2938
257	17633	2870
258	17699	2801
259	17767	2733
260	17839	2665
261	17906	2597
262	17973	2528
263	18041	2460
264	18109	2391
265	18175	2323
266	18242	2254
267	18309	2186
268	18372	2117
269	18440	2048
270	18507	1980
271	18576	1912
272	18647	1844
273	18712	1775
274	18782	1707
275	18843	1638
276	18914	1570
277	18985	1502
278	19051	1434
279	19120	1365
280	19188	1297
281	19255	1229
282	19322	1160
283	19392	1092
284	19456	1024
285	19524	955
286	19590	887
287	19658	819
288	19722	750
289	19792	682
290	19860	614
291	19926	545
292	19993	477
293	20061	409
294	20130	341
295	20199	272
296	20270	204
297	20337	136
298	20411	68
299	20484	0
